#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_001086625.1	PRJNA224116	SAMN03787331	LFMN00000000.1	na	287	287	Pseudomonas aeruginosa	strain=ATCC 27853		latest	Contig	Major	Full	2015/07/17	ASM108662v1	The Mayo Clinic	GCA_001086625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/625/GCF_001086625.1_ASM108662v1		
GCF_001086635.1	PRJNA224116	SAMN03787333	LFMP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=BTP032		latest	Contig	Major	Full	2015/07/17	ASM108663v1	The Mayo Clinic	GCA_001086635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/635/GCF_001086635.1_ASM108663v1		
GCF_001086645.1	PRJNA224116	SAMN03787338	LFMU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=BTP037		latest	Contig	Major	Full	2015/07/17	ASM108664v1	The Mayo Clinic	GCA_001086645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/645/GCF_001086645.1_ASM108664v1		
GCF_001086655.1	PRJNA224116	SAMN03787332	LFMO00000000.1	na	287	287	Pseudomonas aeruginosa	strain=BTP031		latest	Contig	Major	Full	2015/07/17	ASM108665v1	The Mayo Clinic	GCA_001086655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/655/GCF_001086655.1_ASM108665v1		
GCF_001086725.1	PRJNA224116	SAMN03787339	LFMV00000000.1	na	287	287	Pseudomonas aeruginosa	strain=BTP038		latest	Contig	Major	Full	2015/07/17	ASM108672v1	The Mayo Clinic	GCA_001086725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/725/GCF_001086725.1_ASM108672v1		
GCF_001086735.1	PRJNA224116	SAMN03787334	LFMQ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=BTP033		latest	Contig	Major	Full	2015/07/17	ASM108673v1	The Mayo Clinic	GCA_001086735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/735/GCF_001086735.1_ASM108673v1		
GCF_001086745.1	PRJNA224116	SAMN03787336	LFMS00000000.1	na	287	287	Pseudomonas aeruginosa	strain=BTP035		latest	Contig	Major	Full	2015/07/17	ASM108674v1	The Mayo Clinic	GCA_001086745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/745/GCF_001086745.1_ASM108674v1		
GCF_001086755.1	PRJNA224116	SAMN03787335	LFMR00000000.1	na	287	287	Pseudomonas aeruginosa	strain=BTP034		latest	Contig	Major	Full	2015/07/17	ASM108675v1	The Mayo Clinic	GCA_001086755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/755/GCF_001086755.1_ASM108675v1		
GCF_001086805.1	PRJNA224116	SAMN03787337	LFMT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=BTP036		latest	Contig	Major	Full	2015/07/17	ASM108680v1	The Mayo Clinic	GCA_001086805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/086/805/GCF_001086805.1_ASM108680v1		
GCF_001180345.1	PRJNA224116	SAMEA3374585	CVUY00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P1_London_28_IMP_1_04_05		latest	Contig	Major	Full	2015/07/07	P1_London_28_IMP_1_04_05	PHE	GCA_001180345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/345/GCF_001180345.1_P1_London_28_IMP_1_04_05		
GCF_001180365.1	PRJNA224116	SAMEA3374586	CVWC00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P2_London_28_IMP_1_06_05		latest	Contig	Major	Full	2015/07/07	P2_London_28_IMP_1_06_05	PHE	GCA_001180365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/365/GCF_001180365.1_P2_London_28_IMP_1_06_05		
GCF_001180385.1	PRJNA224116	SAMEA3374587	CVVV00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P3_North_West_16_VIM_2_07_06		latest	Contig	Major	Full	2015/07/07	P3_North_West_16_VIM_2_07_06	PHE	GCA_001180385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/385/GCF_001180385.1_P3_North_West_16_VIM_2_07_06		
GCF_001180405.1	PRJNA224116	SAMEA3374588	CVWA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P4_London_1_VIM_2_10_07		latest	Contig	Major	Full	2015/07/07	P4_London_1_VIM_2_10_07	PHE	GCA_001180405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/405/GCF_001180405.1_P4_London_1_VIM_2_10_07		
GCF_001180425.1	PRJNA224116	SAMEA3374589	CVWS00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P5_London_26_VIM_2_01_09		latest	Contig	Major	Full	2015/07/07	P5_London_26_VIM_2_01_09	PHE	GCA_001180425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/425/GCF_001180425.1_P5_London_26_VIM_2_01_09		
GCF_001180445.1	PRJNA224116	SAMEA3374590	CWGH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E1_London_17_VIM_2_02_09		latest	Contig	Major	Full	2015/07/07	E1_London_17_VIM_2_02_09	PHE	GCA_001180445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/445/GCF_001180445.1_E1_London_17_VIM_2_02_09		
GCF_001180465.1	PRJNA224116	SAMEA3374591	CVUZ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E2_London_17_VIM_2_02_09		latest	Contig	Major	Full	2015/07/07	E2_London_17_VIM_2_02_09	PHE	GCA_001180465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/465/GCF_001180465.1_E2_London_17_VIM_2_02_09		
GCF_001180485.1	PRJNA224116	SAMEA3374592	CVVB00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E3_London_17_VIM_2_03_09		latest	Contig	Major	Full	2015/07/07	E3_London_17_VIM_2_03_09	PHE	GCA_001180485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/485/GCF_001180485.1_E3_London_17_VIM_2_03_09		
GCF_001180505.1	PRJNA224116	SAMEA3374593	CVUK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E4_London_17_VIM_2_03_09		latest	Contig	Major	Full	2015/07/07	E4_London_17_VIM_2_03_09	PHE	GCA_001180505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/505/GCF_001180505.1_E4_London_17_VIM_2_03_09		
GCF_001180525.1	PRJNA224116	SAMEA3374594	CWFP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P6_East_of_England_6_IMP_1_03_09		latest	Contig	Major	Full	2015/07/07	P6_East_of_England_6_IMP_1_03_09	PHE	GCA_001180525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/525/GCF_001180525.1_P6_East_of_England_6_IMP_1_03_09		
GCF_001180545.1	PRJNA224116	SAMEA3374595	CVXP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P7_London_17_VIM_2_06_09		latest	Contig	Major	Full	2015/07/07	P7_London_17_VIM_2_06_09	PHE	GCA_001180545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/545/GCF_001180545.1_P7_London_17_VIM_2_06_09		
GCF_001180565.1	PRJNA224116	SAMEA3374596	CWET00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P8_1_South_East_10_VIM_2_07_09		latest	Contig	Major	Full	2015/07/07	P8_1_South_East_10_VIM_2_07_09	PHE	GCA_001180565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/565/GCF_001180565.1_P8_1_South_East_10_VIM_2_07_09		
GCF_001180585.1	PRJNA224116	SAMEA3374597	CWEU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P9_East_of_England_6_IMP_13_08_09		latest	Contig	Major	Full	2015/07/07	P9_East_of_England_6_IMP_13_08_09	PHE	GCA_001180585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/585/GCF_001180585.1_P9_East_of_England_6_IMP_13_08_09		
GCF_001180605.1	PRJNA224116	SAMEA3374598	CVVA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P10_London_6_VIM_2_09_09		latest	Contig	Major	Full	2015/07/07	P10_London_6_VIM_2_09_09	PHE	GCA_001180605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/605/GCF_001180605.1_P10_London_6_VIM_2_09_09		
GCF_001180625.1	PRJNA224116	SAMEA3374599	CVVH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P11_London_17_VIM_2_10_09		latest	Contig	Major	Full	2015/07/07	P11_London_17_VIM_2_10_09	PHE	GCA_001180625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/625/GCF_001180625.1_P11_London_17_VIM_2_10_09		
GCF_001180645.1	PRJNA224116	SAMEA3374600	CVUP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P12_London_17_VIM_2_11_09		latest	Contig	Major	Full	2015/07/07	P12_London_17_VIM_2_11_09	PHE	GCA_001180645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/645/GCF_001180645.1_P12_London_17_VIM_2_11_09		
GCF_001180665.1	PRJNA224116	SAMEA3374601	CVUL00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P13_London_14_VIM_2_12_09		latest	Contig	Major	Full	2015/07/07	P13_London_14_VIM_2_12_09	PHE	GCA_001180665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/665/GCF_001180665.1_P13_London_14_VIM_2_12_09		
GCF_001180685.1	PRJNA224116	SAMEA3374602	CVVT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P14_London_17_VIM_2_01_10		latest	Contig	Major	Full	2015/07/07	P14_London_17_VIM_2_01_10	PHE	GCA_001180685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/685/GCF_001180685.1_P14_London_17_VIM_2_01_10		
GCF_001180705.1	PRJNA224116	SAMEA3374603	CVVW00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P15_London_17_02_10		latest	Contig	Major	Full	2015/07/07	P15_London_17_02_10	PHE	GCA_001180705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/705/GCF_001180705.1_P15_London_17_02_10		
GCF_001180725.1	PRJNA224116	SAMEA3374604	CVVD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P16_Lonon_17_VIM_2_02_10		latest	Contig	Major	Full	2015/07/07	P16_Lonon_17_VIM_2_02_10	PHE	GCA_001180725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/725/GCF_001180725.1_P16_Lonon_17_VIM_2_02_10		
GCF_001180745.1	PRJNA224116	SAMEA3374605	CVUV00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P17_North_West_14_VIM_2_03_10		latest	Contig	Major	Full	2015/07/07	P17_North_West_14_VIM_2_03_10	PHE	GCA_001180745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/745/GCF_001180745.1_P17_North_West_14_VIM_2_03_10		
GCF_001180765.1	PRJNA224116	SAMEA3374606	CVVY00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P18_London_17_VIM_2_04_10		latest	Contig	Major	Full	2015/07/07	P18_London_17_VIM_2_04_10	PHE	GCA_001180765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/765/GCF_001180765.1_P18_London_17_VIM_2_04_10		
GCF_001180785.1	PRJNA224116	SAMEA3374607	CVVU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P19_London_7_VIM_2_05_10		latest	Contig	Major	Full	2015/07/07	P19_London_7_VIM_2_05_10	PHE	GCA_001180785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/785/GCF_001180785.1_P19_London_7_VIM_2_05_10		
GCF_001180805.1	PRJNA224116	SAMEA3374608	CVUO00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P20_London_17_VIM_2_05_10		latest	Contig	Major	Full	2015/07/07	P20_London_17_VIM_2_05_10	PHE	GCA_001180805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/805/GCF_001180805.1_P20_London_17_VIM_2_05_10		
GCF_001180825.1	PRJNA224116	SAMEA3374609	CVVE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P21_London_17_VIM_2_06_10		latest	Contig	Major	Full	2015/07/07	P21_London_17_VIM_2_06_10	PHE	GCA_001180825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/825/GCF_001180825.1_P21_London_17_VIM_2_06_10		
GCF_001180845.1	PRJNA224116	SAMEA3374610	CVVI00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P22_London_17_VIM_2_06_10		latest	Contig	Major	Full	2015/07/07	P22_London_17_VIM_2_06_10	PHE	GCA_001180845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/845/GCF_001180845.1_P22_London_17_VIM_2_06_10		
GCF_001180865.1	PRJNA224116	SAMEA3374611	CVUU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P23_East_of_England_6_IMP_13_07_10		latest	Contig	Major	Full	2015/07/07	P23_East_of_England_6_IMP_13_07_10	PHE	GCA_001180865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/865/GCF_001180865.1_P23_East_of_England_6_IMP_13_07_10		
GCF_001180885.1	PRJNA224116	SAMEA3374612	CVUR00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P24_London_17_VIM_2_08_10		latest	Contig	Major	Full	2015/07/07	P24_London_17_VIM_2_08_10	PHE	GCA_001180885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/885/GCF_001180885.1_P24_London_17_VIM_2_08_10		
GCF_001180905.1	PRJNA224116	SAMEA3374613	CVVL00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P25_London_12_VIM_2_08_10		latest	Contig	Major	Full	2015/07/07	P25_London_12_VIM_2_08_10	PHE	GCA_001180905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/905/GCF_001180905.1_P25_London_12_VIM_2_08_10		
GCF_001180925.1	PRJNA224116	SAMEA3374614	CVVN00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P26_Wales_1_VIM_2_11_10		latest	Contig	Major	Full	2015/07/07	P26_Wales_1_VIM_2_11_10	PHE	GCA_001180925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/925/GCF_001180925.1_P26_Wales_1_VIM_2_11_10		
GCF_001180945.1	PRJNA224116	SAMEA3374615	CVVX00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P27_Wales_1_VIM_2_02_11		latest	Contig	Major	Full	2015/07/07	P27_Wales_1_VIM_2_02_11	PHE	GCA_001180945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/945/GCF_001180945.1_P27_Wales_1_VIM_2_02_11		
GCF_001180965.1	PRJNA224116	SAMEA3374616	CVUQ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P28_London_17_02_11		latest	Contig	Major	Full	2015/07/07	P28_London_17_02_11	PHE	GCA_001180965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/965/GCF_001180965.1_P28_London_17_02_11		
GCF_001180985.1	PRJNA224116	SAMEA3374617	CVVO00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P29_London_12_VIM_2_05_11		latest	Contig	Major	Full	2015/07/07	P29_London_12_VIM_2_05_11	PHE	GCA_001180985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/180/985/GCF_001180985.1_P29_London_12_VIM_2_05_11		
GCF_001181005.1	PRJNA224116	SAMEA3374618	CVVK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P30_South_East_2_VIM_2_10_11		latest	Contig	Major	Full	2015/07/07	P30_South_East_2_VIM_2_10_11	PHE	GCA_001181005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/005/GCF_001181005.1_P30_South_East_2_VIM_2_10_11		
GCF_001181025.1	PRJNA224116	SAMEA3374619	CVVS00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P31_Wales_1_VIM_2_11_11		latest	Contig	Major	Full	2015/07/07	P31_Wales_1_VIM_2_11_11	PHE	GCA_001181025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/025/GCF_001181025.1_P31_Wales_1_VIM_2_11_11		
GCF_001181045.1	PRJNA224116	SAMEA3374620	CVVJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P32_London_17_VIM_2_10_11		latest	Contig	Major	Full	2015/07/07	P32_London_17_VIM_2_10_11	PHE	GCA_001181045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/045/GCF_001181045.1_P32_London_17_VIM_2_10_11		
GCF_001181065.1	PRJNA224116	SAMEA3374621	CVVG00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P33_London_28_VIM_2_02_12		latest	Contig	Major	Full	2015/07/07	P33_London_28_VIM_2_02_12	PHE	GCA_001181065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/065/GCF_001181065.1_P33_London_28_VIM_2_02_12		
GCF_001181085.1	PRJNA224116	SAMEA3374622	CVVF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P34_London_28_VIM_2_02_12		latest	Contig	Major	Full	2015/07/07	P34_London_28_VIM_2_02_12	PHE	GCA_001181085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/085/GCF_001181085.1_P34_London_28_VIM_2_02_12		
GCF_001181105.1	PRJNA224116	SAMEA3374623	CVUS00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P35_London_26_VIM_2_05_12		latest	Contig	Major	Full	2015/07/07	P35_London_26_VIM_2_05_12	PHE	GCA_001181105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/105/GCF_001181105.1_P35_London_26_VIM_2_05_12		
GCF_001181125.1	PRJNA224116	SAMEA3374624	CVVP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P36_West_Midlands_5_VIM_2_06_12		latest	Contig	Major	Full	2015/07/07	P36_West_Midlands_5_VIM_2_06_12	PHE	GCA_001181125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/125/GCF_001181125.1_P36_West_Midlands_5_VIM_2_06_12		
GCF_001181145.1	PRJNA224116	SAMEA3374625	CVUJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P37_London_28_VIM_2_07_12		latest	Contig	Major	Full	2015/07/07	P37_London_28_VIM_2_07_12	PHE	GCA_001181145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/145/GCF_001181145.1_P37_London_28_VIM_2_07_12		
GCF_001181165.1	PRJNA224116	SAMEA3374626	CVUT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P38_London_12_VIM_2_08_12		latest	Contig	Major	Full	2015/07/07	P38_London_12_VIM_2_08_12	PHE	GCA_001181165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/165/GCF_001181165.1_P38_London_12_VIM_2_08_12		
GCF_001181185.1	PRJNA224116	SAMEA3374627	CVVC00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P39_London_29_08_12		latest	Contig	Major	Full	2015/07/07	P39_London_29_08_12	PHE	GCA_001181185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/185/GCF_001181185.1_P39_London_29_08_12		
GCF_001181205.1	PRJNA224116	SAMEA3374628	CVUM00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P40_Scotland_4_VIM_2_09_12		latest	Contig	Major	Full	2015/07/07	P40_Scotland_4_VIM_2_09_12	PHE	GCA_001181205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/205/GCF_001181205.1_P40_Scotland_4_VIM_2_09_12		
GCF_001181225.1	PRJNA224116	SAMEA3374629	CVVR00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P41_London_28_09_12		latest	Contig	Major	Full	2015/07/07	P41_London_28_09_12	PHE	GCA_001181225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/225/GCF_001181225.1_P41_London_28_09_12		
GCF_001181245.1	PRJNA224116	SAMEA3374630	CVWH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P42_1_London_26_VIM_2_10_12		latest	Contig	Major	Full	2015/07/07	P42_1_London_26_VIM_2_10_12	PHE	GCA_001181245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/245/GCF_001181245.1_P42_1_London_26_VIM_2_10_12		
GCF_001181265.1	PRJNA224116	SAMEA3374631	CVWJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P43_1_London_9_VIM_2_11_12		latest	Contig	Major	Full	2015/07/07	P43_1_London_9_VIM_2_11_12	PHE	GCA_001181265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/265/GCF_001181265.1_P43_1_London_9_VIM_2_11_12		
GCF_001181285.1	PRJNA224116	SAMEA3374633	CVWI00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P42_2_London_28_VIM_2_11_12		latest	Contig	Major	Full	2015/07/07	P42_2_London_28_VIM_2_11_12	PHE	GCA_001181285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/285/GCF_001181285.1_P42_2_London_28_VIM_2_11_12		
GCF_001181305.1	PRJNA224116	SAMEA3374634	CVWO00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P45_London_17_VIM_2_12_12		latest	Contig	Major	Full	2015/07/07	P45_London_17_VIM_2_12_12	PHE	GCA_001181305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/305/GCF_001181305.1_P45_London_17_VIM_2_12_12		
GCF_001181325.1	PRJNA224116	SAMEA3374635	CVWE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E5_London_17_VIM_2_12_12		latest	Contig	Major	Full	2015/07/07	E5_London_17_VIM_2_12_12	PHE	GCA_001181325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/325/GCF_001181325.1_E5_London_17_VIM_2_12_12		
GCF_001181345.1	PRJNA224116	SAMEA3374636	CVWD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E6_London_17_VIM_2_12_12		latest	Contig	Major	Full	2015/07/07	E6_London_17_VIM_2_12_12	PHE	GCA_001181345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/345/GCF_001181345.1_E6_London_17_VIM_2_12_12		
GCF_001181365.1	PRJNA224116	SAMEA3374637	CVWM00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P46_South_East_6_12_12		latest	Contig	Major	Full	2015/07/07	P46_South_East_6_12_12	PHE	GCA_001181365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/365/GCF_001181365.1_P46_South_East_6_12_12		
GCF_001181385.1	PRJNA224116	SAMEA3374638	CVWN00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P47_London_12_VIM_2_12_12		latest	Contig	Major	Full	2015/07/07	P47_London_12_VIM_2_12_12	PHE	GCA_001181385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/385/GCF_001181385.1_P47_London_12_VIM_2_12_12		
GCF_001181405.1	PRJNA224116	SAMEA3374639	CVWT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P48_London_17_VIM_2_01_13		latest	Contig	Major	Full	2015/07/07	P48_London_17_VIM_2_01_13	PHE	GCA_001181405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/405/GCF_001181405.1_P48_London_17_VIM_2_01_13		
GCF_001181425.1	PRJNA224116	SAMEA3374640	CVWQ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P49_London_7_VIM_2_01_13		latest	Contig	Major	Full	2015/07/07	P49_London_7_VIM_2_01_13	PHE	GCA_001181425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/425/GCF_001181425.1_P49_London_7_VIM_2_01_13		
GCF_001181445.1	PRJNA224116	SAMEA3374641	CVWP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P50_London_9_VIM_2_01_13		latest	Contig	Major	Full	2015/07/07	P50_London_9_VIM_2_01_13	PHE	GCA_001181445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/445/GCF_001181445.1_P50_London_9_VIM_2_01_13		
GCF_001181465.1	PRJNA224116	SAMEA3374642	CVWK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P43_2_London_9_VIM_2_11_12		latest	Contig	Major	Full	2015/07/07	P43_2_London_9_VIM_2_11_12	PHE	GCA_001181465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/465/GCF_001181465.1_P43_2_London_9_VIM_2_11_12		
GCF_001181485.1	PRJNA224116	SAMEA3374643	CVWR00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P51_1_London_9_VIM_2_02_13		latest	Contig	Major	Full	2015/07/07	P51_1_London_9_VIM_2_02_13	PHE	GCA_001181485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/485/GCF_001181485.1_P51_1_London_9_VIM_2_02_13		
GCF_001181505.1	PRJNA224116	SAMEA3374644	CVWB00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E7_London_9_VIM_2_02_13		latest	Contig	Major	Full	2015/07/07	E7_London_9_VIM_2_02_13	PHE	GCA_001181505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/505/GCF_001181505.1_E7_London_9_VIM_2_02_13		
GCF_001181525.1	PRJNA224116	SAMEA3374645	CVWV00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P52_1_London_26_VIM_2_02_13		latest	Contig	Major	Full	2015/07/07	P52_1_London_26_VIM_2_02_13	PHE	GCA_001181525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/525/GCF_001181525.1_P52_1_London_26_VIM_2_02_13		
GCF_001181545.1	PRJNA224116	SAMEA3374646	CVWU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=P51_2_London_11_VIM_2_02_13		latest	Contig	Major	Full	2015/07/07	P51_2_London_11_VIM_2_02_13	PHE	GCA_001181545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/181/545/GCF_001181545.1_P51_2_London_11_VIM_2_02_13		
